track_id,track_name,artist_name,album_name,played_at
38omqF9cseHq6PRFFKY2eS,F.U.N,Destroy Lonely,</3²,2025-11-13 03:05:30.822000+00:00
1p5GikXPiCkw5T2VrSPrO1,Pretty Girl (with Rema),"Ice Spice,Rema",Pretty Girl (with Rema),2025-11-13 03:03:48.403000+00:00
7MwwPyZJ7UKFROj2oVnH6R,Caramelldansen,Caramella Girls,Supergott (Speedy Mixes),2025-11-13 03:01:30.164000+00:00
4FyoU6LcQbzkOFxIcnHamf,Hate Bein' Sober,"Chief Keef,50 Cent,Wiz Khalifa",Sneak Peek: Finally Rich,2025-11-13 02:58:34.271000+00:00
2WLaphS5vogH0CZOlHTxdI,MY UNNIES,"kimj,SEBii,The Deep,Effie",MY UNNIES,2025-11-13 02:53:53.353000+00:00
0bmVH05tjN9jVh3kB1TfpR,In This Darkness,Clara La San,In This Darkness,2025-11-13 02:50:57.515000+00:00
6Nw7QlHprchgmvOgAEFoEx,How You Mad!,Autumn!,How You Mad!,2025-11-13 02:47:40.263000+00:00
7EdJ8z6IBotTjO50DfzzuV,Furthest Thing,Drake,Nothing Was The Same,2025-11-13 02:45:57.043000+00:00
598yNsG1JFrGd4n2kMoz7F,Woah,Lil Baby,Woah,2025-11-13 02:41:33.321000+00:00
00RLNHc2jkEjUoCUlFgPVT,welcome and goodbye,"Dream, Ivory",welcome and goodbye,2025-11-13 02:38:25.425000+00:00
5MUxrNd7Gr2HksLcAlB0IO,Yah Mean,Playboi Carti,Playboi Carti,2025-11-13 02:36:04.169000+00:00
2ohegz9maxzroKBu9YhcCM,Pilot Jones,Frank Ocean,channel ORANGE,2025-11-13 02:33:19.927000+00:00
2esagRV7X9Ha4frsUYIDM9,RICK OWENS,"Ufo361,lucidbeatz,Ken Carson",RICK OWENS,2025-11-13 02:30:13.688000+00:00
4e0FYxSROat25pH16zMTZI,Love Me,Lil Tecca,We Love You Tecca,2025-11-13 02:28:02.896000+00:00
4GZnAnNrbc19O0SN4mPPSB,CRYSTLCSTLES,Destroy Lonely,NS+ (ULTRA),2025-11-13 02:26:12.166000+00:00
2ydwqnjPOcM24MV0kLThwi,Amped,Lil Uzi Vert,Pink Tape,2025-11-13 02:23:20.618000+00:00
6mz1fBdKATx6qP4oP1I65G,Pony,Ginuwine,R&B: From Doo-Wop To Hip-Hop,2025-11-13 02:20:25.320000+00:00
5SUYx8DCjFhdU9d9Qu4Vnf,TELL ME (feat. Chlöe),"Joey Bada$$,Chlöe",TELL ME (feat. Chlöe),2025-11-13 02:16:22.763000+00:00
3oByO94xgLnworeBgkCsGo,Wish,"Diplo,Trippie Redd",Wish (Sped Up),2025-11-13 02:13:34.661000+00:00
0ITaSRuI0L1RNL7ZNYTTi7,U Are My High (with Future),"DJ Snake,Future",U Are My High (with Future),2025-11-13 02:10:39.012000+00:00
4bpuF6xenrFjMLA9tfKuc7,Stay Gold,Bryson Tiller,Bryson Tiller,2025-11-13 02:07:07.052000+00:00
